cluster,num_elementos,media_latitud,media_longitud,max_hora,min_hora,id_estacion_proxima,longitud_estacion,latitud_estacion,suma_intensidad,probabilidad_accidente,geometry_accidente,geometry_estacion,osmid_acc,dist_acc,osmid_est,dist_est
62,31,40.46815097862944,-3.569780431846776,1285,280,9839,-3.580713428117379,40.47056745019523,1980579,1.5651988635646445e-05,POINT (-3.569780431846776 40.46815097862944),POINT (-3.580713428117379 40.47056745019523),655440028,6971.648771840192,655440028,6894.428218355353
63,12,40.38752329566397,-3.6288505949511016,1155,495,9835,-3.6282084232887195,40.38330339972885,629692,1.9056935771774137e-05,POINT (-3.6288505949511016 40.38752329566397),POINT (-3.6282084232887195 40.38330339972885),655440028,6971.648771840192,655440028,7447.884792722218
64,13,40.46538708423252,-3.572483299740769,1305,780,9839,-3.580713428117379,40.47056745019523,1252610,1.0378330046862153e-05,POINT (-3.572483299740769 40.46538708423252),POINT (-3.580713428117379 40.47056745019523),655440028,7484.253827058582,655440028,7447.884792722218
67,14,40.36529597651959,-3.5876539311428397,1270,480,5380,-3.5983798082233314,40.36321763037399,1331689,1.0512965114227121e-05,POINT (-3.5876539311428397 40.36529597651959),POINT (-3.5983798082233314 40.36321763037399),655440028,8315.34760978968,655440028,8484.350009379976
71,15,40.40133881047914,-3.5917721698679523,1150,140,6215,-3.593953887014991,40.402664443264165,6111947,2.4542097632718346e-06,POINT (-3.5917721698679523 40.40133881047914),POINT (-3.593953887014991 40.402664443264165),655440028,8077.984978428661,655440028,8274.023442477692
72,18,40.359634802264814,-3.5945878404080966,1265,495,5380,-3.5983798082233314,40.36321763037399,1275707,1.410982302362533e-05,POINT (-3.5945878404080966 40.359634802264814),POINT (-3.5983798082233314 40.36321763037399),655440028,8077.984978428661,655440028,7892.056325056599
73,11,40.367040450305076,-3.625677062774859,1095,555,5201,-3.628224103538999,40.37876987431243,2593959,4.240622153241435e-06,POINT (-3.625677062774859 40.367040450305076),POINT (-3.628224103538999 40.37876987431243),655440028,8047.447850704662,655440028,7892.056325056599
74,15,40.36731358050607,-3.6230240302856407,1080,630,5361,-3.6113269841812508,40.369482985760904,665857,2.2527359478086136e-05,POINT (-3.6230240302856407 40.36731358050607),POINT (-3.6113269841812508 40.369482985760904),655440028,8047.447850704662,655440028,8274.023442477692
75,31,40.44239644835763,-3.5705579532647818,1280,351,6553,-3.581799783200342,40.443923961336935,6448904,4.807018370873562e-06,POINT (-3.5705579532647818 40.44239644835763),POINT (-3.581799783200342 40.443923961336935),655440028,8256.92590987065,655440028,8274.023442477692
76,12,40.44635485918126,-3.566688825040839,1040,3,6553,-3.581799783200342,40.443923961336935,4388936,2.7341478663621434e-06,POINT (-3.566688825040839 40.44635485918126),POINT (-3.581799783200342 40.443923961336935),655440028,8256.92590987065,655440028,8274.023442477692
77,39,40.366509034925656,-3.654631974142876,1410,180,5216,-3.6507920290607068,40.37363390555292,2118252,1.841140714135995e-05,POINT (-3.654631974142876 40.366509034925656),POINT (-3.6507920290607068 40.37363390555292),655440028,8153.042586421388,655440028,8274.023442477692
81,30,40.366782623417706,-3.605958695926212,1140,345,11090,-3.606367333060346,40.366720430649075,3073283,9.761548155506668e-06,POINT (-3.605958695926212 40.366782623417706),POINT (-3.606367333060346 40.366720430649075),140358451,6045.061340519847,140358451,5355.897916007799
82,33,40.49480910452132,-3.649391912646807,1260,210,10457,-3.6484492111732045,40.495774156015244,6536330,5.048704701262023e-06,POINT (-3.649391912646807 40.49480910452132),POINT (-3.6484492111732045 40.495774156015244),140358451,5491.395581500686,140358451,5864.667478497363
84,27,40.36977337111089,-3.598774400837082,1275,745,5384,-3.6012213784873923,40.368852272613076,5033596,5.363958490113231e-06,POINT (-3.598774400837082 40.36977337111089),POINT (-3.6012213784873923 40.368852272613076),38755255,6414.8579461724985,38755255,6423.570507400231
86,14,40.503113547911035,-3.7131317495112444,1270,84,6582,-3.7088541473576986,40.504113936310844,1390351,1.0069399741504124e-05,POINT (-3.7131317495112444 40.503113547911035),POINT (-3.7088541473576986 40.504113936310844),655440028,8785.279313442663,655440028,8373.118951215758
87,15,40.50392613403179,-3.7083912657369282,1220,575,6582,-3.7088541473576986,40.504113936310844,1023992,1.4648551941812046e-05,POINT (-3.7083912657369282 40.50392613403179),POINT (-3.7088541473576986 40.504113936310844),655440028,8785.279313442663,655440028,8373.118951215758
88,25,40.50380112763669,-3.703943044063392,1365,580,10421,-3.7046584484490146,40.503852724441494,468921,5.331388442829389e-05,POINT (-3.703943044063392 40.50380112763669),POINT (-3.7046584484490146 40.503852724441494),655440028,9064.519677082688,655440028,8373.118951215758
91,19,40.503141324876246,-3.700226619494987,1305,108,10365,-3.700446952566538,40.502738519106785,566438,3.354294733051102e-05,POINT (-3.700226619494987 40.503141324876246),POINT (-3.700446952566538 40.502738519106785),655440028,8726.106539372171,655440028,8373.118951215758
92,29,40.50245978829448,-3.6972439430365727,1233,495,3789,-3.697221331641612,40.50229210330635,6789270,4.27144597283655e-06,POINT (-3.6972439430365727 40.50245978829448),POINT (-3.697221331641612 40.50229210330635),655440028,8726.106539372171,655440028,8373.118951215758
93,25,40.37201175313099,-3.6404243170969135,1060,227,5214,-3.639603111651018,40.37550954999626,1612417,1.5504674039035808e-05,POINT (-3.6404243170969135 40.37201175313099),POINT (-3.639603111651018 40.37550954999626),655440028,8676.127005670985,655440028,8373.118951215758
95,12,40.37508970045252,-3.6413383100204775,1300,742,5214,-3.639603111651018,40.37550954999626,1249046,9.60733231602359e-06,POINT (-3.6413383100204775 40.37508970045252),POINT (-3.639603111651018 40.37550954999626),"[15241769, 1354652366, 15241775]",7776.210627016874,"[15241769, 1354652366, 15241775]",7505.325237942186
97,22,40.50787200248377,-3.6539487781600624,998,120,6606,-3.657701536211507,40.50111673030183,2768967,7.945201224861112e-06,POINT (-3.6539487781600624 40.50787200248377),POINT (-3.657701536211507 40.50111673030183),655440028,2998.364402680632,655440028,2942.532905901191
103,12,40.36396410677204,-3.6191701180299343,870,60,5361,-3.6113269841812508,40.369482985760904,823747,1.456757960878765e-05,POINT (-3.6191701180299343 40.36396410677204),POINT (-3.6113269841812508 40.369482985760904),"[15241769, 1354652366, 15241775]",6321.561014479947,"[15241769, 1354652366, 15241775]",7505.325237942186
104,15,40.3672712657345,-3.616236166442056,1318,450,5361,-3.6113269841812508,40.369482985760904,1432438,1.047165741204855e-05,POINT (-3.616236166442056 40.3672712657345),POINT (-3.6113269841812508 40.369482985760904),"[15241769, 1354652366, 15241775]",8008.555105767297,"[15241769, 1354652366, 15241775]",4467.145655021908
105,31,40.50789465699956,-3.671425784505319,1370,72,6596,-3.6711027912521677,40.50746807823276,2378010,1.3036110024768608e-05,POINT (-3.671425784505319 40.50789465699956),POINT (-3.6711027912521677 40.50746807823276),"[15241769, 1354652366, 15241775]",5585.80254152863,"[15241769, 1354652366, 15241775]",6219.431010292019
111,33,40.49595440729254,-3.667254379953071,1377,480,6616,-3.667491408001306,40.495735131566484,14130462,2.3353801170832205e-06,POINT (-3.667254379953071 40.49595440729254),POINT (-3.667491408001306 40.495735131566484),"[15241769, 1354652366, 15241775]",4576.6146047943985,"[15241769, 1354652366, 15241775]",3902.859086457615
115,54,40.44395268006536,-3.582583914690468,1420,65,6551,-3.5830349192413857,40.44356311508348,3567904,1.513493636600088e-05,POINT (-3.582583914690468 40.44395268006536),POINT (-3.5830349192413857 40.44356311508348),"[15241769, 1354652366, 15241775]",6991.955462439942,"[15241769, 1354652366, 15241775]",6737.881251120068
118,20,40.44434145976774,-3.5764422298295053,1206,815,6553,-3.581799783200342,40.443923961336935,3738319,5.349998221125591e-06,POINT (-3.5764422298295053 40.44434145976774),POINT (-3.581799783200342 40.443923961336935),"[15241769, 1354652366, 15241775]",6963.972743376033,"[15241769, 1354652366, 15241775]",6924.722184023028
121,13,40.463163215170866,-3.7479298867008617,1360,435,3559,-3.746687811212975,40.461357486258336,10880032,1.1948494269134502e-06,POINT (-3.7479298867008617 40.463163215170866),POINT (-3.746687811212975 40.461357486258336),24222380,7790.133523155383,24222380,7856.561046324402
122,25,40.46641900989144,-3.749464010857841,1290,470,6769,-3.7498450820910194,40.4679363361579,26022788,9.606964480516076e-07,POINT (-3.749464010857841 40.46641900989144),POINT (-3.7498450820910194 40.4679363361579),302644186,7790.133523155383,302644186,7856.561046324402
123,18,40.48687690800901,-3.730665617818942,1320,345,10533,-3.7312882302416783,40.48731077015875,1903197,9.457770267607609e-06,POINT (-3.730665617818942 40.48687690800901),POINT (-3.7312882302416783 40.48731077015875),24222380,7832.089002333055,24222380,7856.561046324402
124,69,40.377228631771494,-3.60700661831642,1263,90,10787,-3.6097980328561454,40.381337212419844,2958817,2.3320130984782093e-05,POINT (-3.60700661831642 40.377228631771494),POINT (-3.6097980328561454 40.381337212419844),302644186,7832.089002333055,302644186,7856.561046324402
